task_id,task_name,user_prompt,source_elements,primary_capabilities_tested,evaluation_signal
1,Chicago hospital accessibility,"Which Chicago community areas have the poorest spatial accessibility to hospitals? Produce a map and ranked table.","I-GUIDE VCO: Pysal Access; Pysal Access Compute Example; Calculating Spatial Accessibility with Areal Two-Step Floating Catchment Area (A2SFCA) Method","notebook retrieval; spatial accessibility workflow reuse; boundary/facility joins; map and table artifact generation","retrieves relevant accessibility notebooks; runs or adapts A2SFCA/access workflow; returns ranked community areas with cited lineage"
2,Flood depth prediction with multimodal data,"Use the available flood-depth prediction resources to identify required inputs and run or outline a flood-depth prediction workflow.","NSF I-GUIDE Summer School 2025 (Team 5): Multimodal Geospatial Data fusion for Flood Depth Prediction; Flood Depth Prediction with Geospatial Data Fusion and Machine Learning; NSF I-GUIDE Summer School (Team 5): Datasets Harmonization for Flood Depth Prediction; Flooding prediction dataset generation","multi-resource retrieval; notebook-dataset linkage; ML workflow reuse; missing-step code generation","identifies Sentinel-1/CHIRPS/weather/DEM-style inputs; links dataset and notebook resources; produces executable plan or artifact with failure modes"
3,Boone County Iowa flood-risk map comparison,"Find flood risk maps for Boone County, Iowa, compare available map years, and summarize covered jurisdictions.","Flood Risk Map: Boone County, Iowa (FRM_07100006, 03/31/2015); Flood Risk Map: Boone County, Iowa (FRM_07100004, 06/15/2017); related flood map records","spatial catalog retrieval; temporal metadata comparison; jurisdiction extraction; evidence synthesis","retrieves the correct map records; compares dates; lists covered jurisdictions; cites map provenance"
4,Wildfire evacuation network analysis,"Build an OSM-based road network for a wildfire evacuation scenario and identify likely bottleneck road segments.","Build Road Networks; FireABM Modeling Notebook; Graph Simulation Results; CyberTraining 2024 CyberGIS-Compute for Evacuation; Intro to OSM Network Data","OSM/network retrieval; graph construction; network analysis; workflow composition","creates or outlines road-network artifact; identifies bottleneck metrics such as betweenness/limited exits; preserves source/tool trace"
5,Aging dam exposure assessment,"Rank areas that may face higher exposure to potential dam failure risk using the National Inventory of Dams and related knowledge elements.","Who is facing the risk of potential dam failures?; National Inventory of Dams; Increasing dam failure risk in the USA due to compound rainfall clusters as climate changes; Characterizing the Atmospheric Conditions Leading to Dam Overtopping in the Eastern United States","dataset retrieval; publication-guided reasoning; spatial risk ranking; provenance-aware synthesis","retrieves dam inventory and related method evidence; defines exposure/risk criteria; returns ranked areas and clear limitations"
6,Weather data acquisition and preparation,"Acquire precipitation, temperature, wind, humidity, and evapotranspiration data for a selected location and prepare it for geospatial analysis.","Acquisition of weather data via the Open-Meteo API; Download ERA5 and Run Aurora; Quick Start to Run Aurora - A Weather Foundation Model from Microsoft; Global 0.25-degree ERA5 Data on 2023-01-01","API/tool use; weather data preparation; temporal/spatial subsetting; artifact creation","fetches or prepares weather variables; returns structured data artifact; documents source, variables, time range, and location"
7,Global water stress drivers,"Explain and map major drivers of local water stress using the SIMPLE-G water resources.","Global Drivers of Local Water Stress; SIMPLE-G-Global-Water: Global Groundwater Conservation Scenarios; SIMPLE-G-Water: Global Groundwater Conservation Scenarios","notebook-dataset retrieval; global/local sustainability analysis; map generation; synthesis","retrieves SIMPLE-G resources; identifies drivers such as land, water, agriculture, and trade; returns a map or structured summary with citations"
8,Heat exposure and social vulnerability,"Map places where heat-related public sentiment or exposure overlaps with social vulnerability.","City-level Analysis at Chicago; Social Media Based Socioeconomic Analysis; Social Media (Twitter) Data Visualization; Fine Granularity Analysis - Fine Granularity Human Sentiments of Heat Exposure; Twitter data; Intermediate Results for Human Sentiments of Heat Exposure; An exploration of the CDC Social Vulnerability Index dataset","social-media geospatial analysis; vulnerability-data joining; visualization; privacy-aware synthesis","retrieves heat/Twitter and SVI resources; joins or compares spatial units; returns hotspot map/table and caveats about representativeness"
9,Wildfire threat detection for transportation infrastructure,"Identify resources that can detect wildfire threat to transportation infrastructure in California and produce an executable workflow plan.","Wildfire Threat Detection for Transportation Infrastructure using U-Net for Semantic Segmentation; U-Net Training Datasets - Corona, Ventura, and Pala Mesa, California; U-Net GIS Data; U-Net Pretrained Model; Monitoring Trends in Burn Severity (MTBS)","remote-sensing workflow retrieval; model/dataset linkage; executable planning; image-segmentation pipeline reasoning","links notebook, training data, GIS data, and model resources; returns ordered workflow plan with inputs, outputs, and validation checks"
10,Biodiversity and land-use impact synthesis,"Use available biodiversity and land-use resources to summarize how terrestrial biodiversity responds to land-use change and identify candidate datasets for analysis.","Projecting Responses of Ecological Diversity In Changing Terrestrial Systems (PREDICTS); The PREDICTS database: a global database of how local terrestrial biodiversity responds to human impacts; IUCN Red List of Threatened Species; Pathways for achieving conservation targets under metacoupled anthropogenic disturbances","dataset-publication retrieval; method synthesis; dataset recommendation; conservation-use-case framing","retrieves PREDICTS/IUCN/conservation resources; summarizes analytical use; recommends datasets and possible spatial workflow"
